4．データカタログ項目定義仕様,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"①
項目No","②
クラス名称","③
プロパティ名称","④
見出し","⑤
定義","⑥
値域","⑦
使い方","⑧
出現回数","⑨
サンプル値",,"⑩実装における
変数名
（CKAN）","⑪値域

（CKAN）","⑫列挙型
区分
(CKAN)","⑬出現回数

(CKAN)","⑭複数値
記載許可
(CKAN)","⑮入力必須
項目
（CKAN）",,,,,,,,,,
12020,dcat:Dataset,sipx:term,用語,データセットの内容の記述（ヘッダやデータ項目見出し、データ項目の値）で使われている代表的な用語を記す。,rdfs:Literal,ここで記述した用語は語彙データ項目で示されたURLの先で語彙の一部として定義されていることが望ましい。,0..n,"”都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,バリアフリー情報,URL,備考”",,extras:term,text,ー,0..1,Yes,任意,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
13000,sipx:TradingPolicy,,データ利用条件,,,,,,,,,,,,,,,,,,,,,,
13010,sipx:TradingPolicy,sipx:contractType,契約形態,契約形態を示す。,rdfs:Literal,"契約形態について自由形式のテキストで記載する。
※ 業界団体で定めるプロファイルでコードリストを公開することを推奨する。その際、コードリストの値としては、以下のような値が含まれることが望ましい。ただし、その他の値を設定してもよい。
【コードリストの値の例示】譲渡/利用許諾/共同利用",0..1,利用許諾,,extras:trading_policy_contract_type,text,列挙型,0..1,No,任意,,,,,,,,,,
13020,sipx:TradingPolicy,sipx:nda,秘密保持義務,データの購入者に、秘密保持義務を含む、契約の締結や規約への同意を求めるかを示す。,rdfs:Literal,購入者に同意を求めるか、求めないか、についてテキストで記載する。,0..1,求めない,,extras:trading_policy_nda,text,列挙型,0..1,No,任意,,,,,,,,,,
13030,sipx:TradingPolicy,sipx:useApplication,利用用途　,どの用途であれば、利用を認めるかを示す。,rdfs:Literal,"許諾する利用用途について自由形式のテキストで記載する。
※ 業界団体で定めるプロファイルでコードリストを公開することを推奨する。
その際、コードリストの値としては、以下のような値が含まれることが望ましい。ただし、その他の値を設定してもよい。ただし、その他の値を設定してもよい。
【コードリストの値の例示】商用利用／研究利用／教育利用／制限なし／個別調整",0..n,制限なし,,extras:trading_policy_use_application,text,列挙型,0..1,Yes,任意,,,,,,,,,,
13040,sipx:TradingPolicy,sipx:redistributionRange,開示範囲,提供者に前もって知らせなくても、購入者がデータを開示してよい範囲を示す。,rdfs:Literal,"購入者が提供者に断りなく開示してよい範囲について自由形式のテキストで記載する。
※ 業界団体で定めるプロファイルでコードリストを公開することを推奨する。その際、コードリストの値としては、以下のような値が含まれることが望ましい。ただし、その他の値を設定してもよい。
【コードリストの値の例示】担当者限り／自部門／自社／グループ会社／個別相談",0..1,限定無し,,extras:terms_of_use_redistribution_range,text,列挙型,0..1,No,任意,,,,,,,,,,
13050,sipx:TradingPolicy,sipx:permissibleRegion,データ活用地域,データの活用地域に制限がある場合、利用可能な国や地域を示す。,rdfs:Literal,"データの活用地域に制限がある場合、データを活用の可能な国(日本、米国など)や地域(EU加盟国、ASEAN加盟国など)を記載する。
地域について記載する場合は、複数の国が集まった共同体のような国よりも広い概念をさす。",0..n,日本,,extras:terms_of_use_permissible_region,text,列挙型,0..1,Yes,任意,,,,,,,,,,
13060,sipx:TradingPolicy,sipx:notices,利用に関する注意事項,データを利用するにあたって、注意すべき事項を示す。,rdfs:Literal,"データの利用に関する注意事項を自由に記載する。
例：学術的な目的での利用に供するデータであるので、営利目的では利用しないでください
・制限：例：ダウンロード回数に制限があり（1ヶ月あたり10回まで)
・利用状況の把握：例、事前審査あり/データにアクセスする人員の誓約書有り/利用状況の報告あり/システムによる管理・監視あり/オンサイト利用
・第三者への開示要件
",0..1,"・コンテンツに関し以下の利用を禁止します。
(1) 公序良俗に反する利用
(2) 国家・国民の安全に脅威を与える利用
・日本国東京地方裁判所を第一審の専属的な合意管轄裁判所
・内容の完全性・正確性・有用性・安全性等については、いかなる保証も行いません
・本利用規約に違反するような行為等を発見された場合には、本サイトのリクエストボッ
クスによりご連絡ください",,extras:terms_of_use_notices,text,ー,0..1,No,任意,,,,,,,,,,
